date,energy_kwh,mean_occupancy_ratio,ac_fraction,optimized_energy_kwh,energy_saved_kwh,money_saved_inr,co2_reduced_kg,sustainability_score
2025-07-01,3959.11971,0.35521495245850765,0.1799828178694158,3798.1969316865047,160.9227783134952,1408.074310243083,131.95667821706607,67.46022841908623
2025-07-02,3956.01046,0.355767199241407,0.17815721649484537,3795.2140605750255,160.79639942497442,1406.968494968526,131.853047528479,67.49489251289748
2025-07-03,3953.51878,0.355189720302915,0.17794243986254296,3792.823657651153,160.69512234884678,1406.0823205524093,131.77000032605434,67.50112986869702
2025-07-04,3955.82623,0.35519968298624927,0.17826460481099657,3795.037318806153,160.78891119384707,1406.9029729461618,131.84690717895458,67.48686506980646
2025-07-05,3185.76165,0.2580994545464512,0.15947164948453607,3056.2728612503956,129.48878874960428,1133.0269015590375,106.1808067746755,70.39720597571745
2025-07-06,3159.19129,0.2566644042547066,0.15893470790378006,3030.782482777903,128.40880722209704,1123.5770631933492,105.29522192211957,70.52579665248605
2025-07-07,3973.64659,0.3561470685011826,0.1794458762886598,3812.133350659544,161.51323934045604,1413.2408442289902,132.44085625917396,67.39628914938939
2025-07-08,3995.28511,0.3543064651650517,0.18395618556701032,3832.8923491971855,162.39276080281434,1420.9366570246254,133.16206385830776,67.22606227263486
2025-07-09,3981.25778,0.3546690905587782,0.18288230240549827,3819.4351754645545,161.8226045354454,1415.9477896851472,132.69453571906521,67.31470492008916
2025-07-10,4008.56639,0.3557217644728852,0.18642611683848798,3845.6337969532246,162.9325930467753,1425.660189159284,133.60472629835576,67.16124788431702
2025-07-11,4029.10347,0.35488838201734957,0.18545962199312716,3865.336124731992,163.76734526800783,1432.9642710950684,134.2892231197664,67.03962493330091
2025-07-12,3172.9392,0.25591619249678976,0.16086769759450173,3043.971593843984,128.9676061560158,1128.4665538651382,105.75343704793295,70.42862510273974
2025-07-13,3222.68704,0.25529765576873803,0.16623711340206185,3091.697378131025,130.98966186897496,1146.159541353531,107.41152273255946,70.11646269745944
2025-07-14,4069.68621,0.35564782031392655,0.1879295532646048,3904.269334596321,165.41687540367866,1447.3976597821884,135.6418378310165,66.81348423090674
2025-07-15,4053.65175,0.3560643508414093,0.19039948453608246,3888.8866128717364,164.76513712826363,1441.6949498723068,135.10741244517618,66.89635340335077
2025-07-16,4086.47214,0.3543465394107613,0.19125859106529208,3920.3729819956325,166.09915800436738,1453.3676325382146,136.20130956358125,66.68417925419338
2025-07-17,4076.68626,0.3541093421321471,0.19265463917525774,3910.9848598592976,165.7014001407024,1449.887251231146,135.87514811537596,66.72794024919975
2025-07-18,4101.77988,0.354835944003102,0.19415807560137457,3935.0585220545,166.72135794550013,1458.8118820231261,136.7115135153101,66.592084401743
2025-07-19,3294.47956,0.25782689430181116,0.17289518900343642,3160.5718121354575,133.90774786454267,1171.6927938147483,109.80435324892498,69.72275367009405
2025-07-20,3303.09953,0.2568847369546453,0.17439862542955326,3168.8414139670294,134.25811603297052,1174.7585152884922,110.09165514703582,69.65327425148085
2025-07-21,4129.93904,0.3554954307575357,0.19716494845360824,3962.0731220022417,167.86591799775852,1468.826782480387,137.65005275816196,66.43069479515124
2025-07-22,4155.64497,0.3559272505317615,0.19899054982817868,3986.73420618354,168.91076381646008,1477.9691833940255,138.50682632949724,66.2854088493356
2025-07-23,4131.8592,0.3543816476084893,0.19920532646048109,3963.9152349855713,167.9439650144286,1469.5096938762504,137.71405131183147,66.39313171068143
2025-07-24,4215.70146,0.3562715241449235,0.20435996563573883,4044.349634044867,171.35182595513334,1499.3284771074168,140.50849728320932,65.93048869545414
2025-07-25,4201.15054,0.35567371336165765,0.20489690721649484,4030.3901522040874,170.76038779591227,1494.1533932142324,140.02351799264804,65.99957593548382
2025-07-26,3360.1786,0.2573623036166929,0.18041237113402062,3223.6004423414256,136.57815765857458,1195.0588795125277,111.99408928003115,69.31365274011799
2025-07-27,3359.02073,0.2569043501410182,0.1798754295532646,3222.489635242013,136.53109475798738,1194.6470791323895,111.95549770154965,69.31589285256692
2025-07-28,4401.23096,0.32632256559436246,0.20768900343642613,4222.33808330985,178.89287669014993,1565.312671038812,146.69215888592294,64.4351562379401
2025-07-29,4415.03393,0.3259100298888376,0.20650773195876287,4235.580016401628,179.4539135983714,1570.2217439857498,147.15220915066453,64.35828562181081
2025-07-30,4401.2134,0.3254000293314092,0.20887027491408935,4222.321237055377,178.8921629446222,1565.3064257654444,146.6915736145902,64.4155092722862
2025-07-31,4403.42806,0.32554503279990904,0.20704467353951891,4224.445879762059,178.98218023794107,1566.0940770819843,146.76538779511168,64.41452378333877
2025-08-01,4442.69859,0.32590146919884144,0.21187714776632302,4262.120215846154,180.5783741538462,1580.0607738461542,148.07426680615387,64.17780643519515
2025-08-02,4255.14823,0.3068508385614885,0.20865549828178695,4082.193046660178,172.95518333982182,1513.3578542234409,141.82325033865388,64.94882131750526
2025-08-03,4295.99756,0.3071612942503039,0.2105884879725086,4121.382010680529,174.61554931947103,1527.8860565453715,143.18475044196623,64.71715134827278
2025-08-04,4490.65861,0.32573338555121445,0.21628006872852235,4308.1308480449015,182.52776195509887,1597.117917107115,149.67276480318105,63.887153428771
2025-08-05,4491.21969,0.32643520253969077,0.21552835051546393,4308.669122330735,182.55056766926464,1597.3174671060656,149.691465488797,63.89832599387703
2025-08-06,4477.66995,0.3250980973462585,0.21628006872852235,4295.670126426884,181.99982357311637,1592.4984562647683,149.23985532995542,63.949694658236844
2025-08-07,4505.53643,0.326231970599868,0.2186426116838488,4322.403942675371,183.13248732462944,1602.4092640905076,150.16863960619614,63.80026650057878
2025-08-08,4481.37933,0.3265519742350858,0.21746134020618557,4299.228734593965,182.15059540603488,1593.8177098028052,149.36348823294858,63.94501411033781
