timestamp,building_id,building_name,room_id,category,occupancy,room_capacity,indoor_temperature_c,outdoor_temperature_c,humidity_pct,lights_status,fans_status,ac_status,projector_status,computer_usage,computers_active,voltage_v,current_a,power_factor,frequency_hz,power_w,energy_kwh,hour,day_of_week,is_weekend,is_working_hours,occupancy_ratio,temperature_diff_c,active_device_count,cooling_load_index,month,date,injected_fault,anomaly_score,is_anomaly,confidence,severity,reason,recommended_action,estimated_waste_kwh,estimated_cost_inr
2025-07-07 21:30:00,BLK-B,Academic Block B — Sciences,BLK-B-F04-R01,academic,0,53,34.55,37.75,64.09,1,1,0,1,0.0,0,228.23,6.128,0.941,50.018,1316.2,0.26444,21,0,0,0,0.0,-3.200000000000003,2,0.0,7,2025-07-07,projector_on_empty_room,-0.09085982426545214,1,0.75,high,Lights remain ON while occupancy is zero.,Switch lights off via occupancy sensors / BMS schedule.,0.14544200000000002,1.2726175000000002
2025-07-11 18:15:00,ADM,Administrative Block (Building G),ADM-F02-R03,admin,0,22,35.11,35.51,63.62,1,0,0,0,0.0,0,231.1,1.718,0.909,50.003,360.82,0.09021,18,4,0,0,0.0,-0.3999999999999986,1,0.0,7,2025-07-11,none,-0.13146817815966805,1,0.75,high,Lights remain ON while occupancy is zero.,Switch lights off via occupancy sensors / BMS schedule.,0.0496155,0.434135625
2025-08-08 09:45:00,LAB-CSE,Computer Science Laboratories (Building E),LAB-CSE-F02-R01,computer_lab,55,68,19.54,26.91,70.23,1,0,1,0,0.805,43,230.05,58.283,0.882,49.97,11826.01,7.79423,9,4,0,1,0.8088235294117647,-7.370000000000001,3,5.263676470588235,8,2025-08-08,none,0.013551527675544794,1,0.13854652985816862,medium,Statistical outlier in energy/device pattern.,Verify sensor health and compare with adjacent rooms.,4.2868265,37.509731875
2025-07-22 13:15:00,BLK-A,Academic Block A — Engineering,BLK-A-F02-R04,academic,4,61,21.82,28.63,65.67,1,0,1,1,0.044,0,231.77,20.417,0.885,49.981,4186.08,8.52296,13,1,0,1,0.0655737704918032,-6.809999999999999,3,4.933606557377049,7,2025-07-22,none,0.030028884339327044,1,0.307005809258978,medium,Statistical outlier in energy/device pattern.,Verify sensor health and compare with adjacent rooms.,4.687628,41.016745
2025-07-27 16:30:00,ADM,Administrative Block (Building G),ADM-F03-R01,admin,2,23,26.77,35.46,67.34,1,1,1,0,0.056,0,224.88,11.618,0.914,50.063,2387.02,0.59676,16,6,1,0,0.0869565217391304,-8.690000000000001,4,12.456521739130435,7,2025-07-27,none,-0.05914834732556273,1,0.75,critical,HVAC running after hours with negligible occupancy.,Set HVAC occupancy-based setback and lock after 18:00 except hostels.,0.328218,2.8719075000000003
2025-07-09 03:30:00,BLK-B,Academic Block B — Sciences,BLK-B-F01-R02,academic,0,57,27.62,30.31,72.24,1,1,0,0,0.0,0,230.11,6.299,0.919,50.028,1332.31,0.26768,3,2,0,0,0.0,-2.6899999999999977,2,0.0,7,2025-07-09,lights_on_empty_room,-0.1491513105460054,1,0.75,high,Lights remain ON while occupancy is zero.,Switch lights off via occupancy sensors / BMS schedule.,0.147224,1.2882099999999999
2025-07-17 06:00:00,HST-B,Boys Hostel — Vignan Vihar (Building I),HST-B-F02-R04,hostel,0,39,25.61,26.01,73.04,0,0,1,0,0.0,0,229.52,0.24,0.927,50.01,51.09,0.53189,23,3,0,0,0.0,-0.4000000000000021,0,0.0,7,2025-07-17,ac_on_after_hours,-0.016261608939602823,1,0.75,critical,HVAC running after hours with negligible occupancy.,Set HVAC occupancy-based setback and lock after 18:00 except hostels.,0.2925395,2.559720625
2025-07-21 13:30:00,HST-G,Girls Hostel — Priyadarshini Block (Building H),HST-G-F03-R04,hostel,18,40,25.83,28.83,71.12,1,1,0,0,0.343,1,228.22,5.411,0.93,50.018,1148.97,7.85977,13,0,0,1,0.45,-3.0,3,0.0,7,2025-07-21,sudden_energy_spike,-0.1199265333993434,1,0.75,medium,Statistical outlier in energy/device pattern.,Verify sensor health and compare with adjacent rooms.,4.3228735,37.825143125
2025-07-22 21:00:00,LAB-CSE,Computer Science Laboratories (Building E),LAB-CSE-F03-R01,computer_lab,0,42,37.8,38.2,59.9,0,0,1,0,0.0,0,232.0,0.186,0.905,49.956,39.08,0.47576,23,1,0,0,0.0,-0.4000000000000057,0,0.0,7,2025-07-22,ac_on_after_hours,-0.03139518060422142,1,0.75,critical,HVAC running after hours with negligible occupancy.,Set HVAC occupancy-based setback and lock after 18:00 except hostels.,0.261668,2.2895950000000003
2025-07-06 14:00:00,BLK-B,Academic Block B — Sciences,BLK-B-F02-R03,academic,1,52,21.82,29.5,67.58,1,0,1,0,0.013,0,232.81,18.581,0.889,49.945,3846.97,0.7729,14,6,1,0,0.0192307692307692,-7.68,2,5.60576923076923,7,2025-07-06,none,-0.031319808581017794,1,0.75,critical,HVAC running after hours with negligible occupancy.,Set HVAC occupancy-based setback and lock after 18:00 except hostels.,0.42509500000000006,3.7195812500000005
2025-07-17 17:15:00,HST-G,Girls Hostel — Priyadarshini Block (Building H),HST-G-F02-R01,hostel,10,47,32.35,35.37,66.98,1,1,0,0,0.137,0,229.56,5.179,0.902,50.03,1072.7,7.417835,17,3,0,1,0.2127659574468085,-3.019999999999996,3,0.0,7,2025-07-17,sudden_energy_spike,-0.09423052181725422,1,0.75,medium,Statistical outlier in energy/device pattern.,Verify sensor health and compare with adjacent rooms.,4.07980925,35.6983309375
2025-07-25 16:30:00,BLK-A,Academic Block A — Engineering,BLK-A-F02-R02,academic,22,55,28.87,35.35,63.61,1,1,1,1,0.387,0,232.26,24.719,0.85,50.04,4882.5,9.94085,16,4,0,1,0.4,-6.48,5,15.89,7,2025-07-25,none,0.03314094563755021,1,0.33882253899586307,medium,Statistical outlier in energy/device pattern.,Verify sensor health and compare with adjacent rooms.,5.4674675,47.840340624999996
2025-08-02 19:15:00,BLK-B,Academic Block B — Sciences,BLK-B-F04-R02,academic,4,44,29.65,38.12,64.2,1,1,1,0,0.061,0,225.87,13.576,0.887,50.003,2720.99,4.75342,19,5,1,0,0.0909090909090909,-8.469999999999999,4,15.40363636363636,8,2025-08-02,sudden_energy_spike,-0.03394120525485922,1,0.75,medium,Statistical outlier in energy/device pattern.,Verify sensor health and compare with adjacent rooms.,2.6143810000000003,22.87583375
2025-07-29 20:45:00,HST-B,Boys Hostel — Vignan Vihar (Building I),HST-B-F01-R04,hostel,0,40,34.77,37.52,65.54,1,1,0,0,0.636,2,228.76,6.47,0.903,49.977,1337.03,2.14359,20,1,0,0,0.0,-2.75,3,0.0,7,2025-07-29,lights_on_empty_room,-0.11286609097778133,1,0.75,high,Lights remain ON while occupancy is zero.,Switch lights off via occupancy sensors / BMS schedule.,1.1789745000000003,10.316026875000002
2025-08-03 17:45:00,LAB-CSE,Computer Science Laboratories (Building E),LAB-CSE-F03-R02,computer_lab,59,63,29.12,36.24,59.97,1,1,1,0,0.703,46,229.57,61.816,0.91,50.051,12911.07,8.50938,17,6,1,0,0.9365079365079364,-7.120000000000001,4,23.702857142857148,8,2025-08-03,none,0.06145240380074524,1,0.6282699266002796,medium,Statistical outlier in energy/device pattern.,Verify sensor health and compare with adjacent rooms.,4.680159000000001,40.95139125000001
2025-07-17 13:00:00,BLK-A,Academic Block A — Engineering,BLK-A-F03-R03,academic,0,55,20.0,28.42,69.59,1,0,1,0,0.0,0,230.35,18.832,0.892,50.036,3871.08,7.88161,13,3,0,1,0.0,-8.420000000000002,2,5.223636363636366,7,2025-07-17,lights_on_empty_room,-0.002609974087980138,1,0.75,high,Lights remain ON while occupancy is zero.,Switch lights off via occupancy sensors / BMS schedule.,4.3348855,37.930248125000006
2025-08-04 19:00:00,LAB-CSE,Computer Science Laboratories (Building E),LAB-CSE-F02-R01,computer_lab,1,68,31.92,38.44,64.63,1,1,1,0,0.014,1,229.46,24.029,0.886,50.005,4885.97,3.22022,19,0,0,0,0.0147058823529411,-6.519999999999996,3,14.652352941176469,8,2025-08-04,none,-0.07057250603891752,1,0.75,critical,HVAC running after hours with negligible occupancy.,Set HVAC occupancy-based setback and lock after 18:00 except hostels.,1.7711210000000002,15.497308750000002
2025-08-01 18:45:00,BLK-A,Academic Block A — Engineering,BLK-A-F04-R04,academic,2,53,30.61,37.89,59.0,1,1,1,0,0.0,0,229.69,22.444,0.895,50.02,4612.03,9.39022,18,4,0,0,0.0377358490566037,-7.280000000000001,3,14.414150943396226,8,2025-08-01,none,-0.035522810637169,1,0.75,critical,HVAC running after hours with negligible occupancy.,Set HVAC occupancy-based setback and lock after 18:00 except hostels.,5.164621,45.190433750000004
2025-07-12 18:15:00,BLK-B,Academic Block B — Sciences,BLK-B-F02-R02,academic,1,39,27.52,35.24,62.81,1,1,1,0,0.017,0,234.9,12.853,0.863,49.948,2604.89,0.52335,18,5,1,0,0.0256410256410256,-7.720000000000002,3,11.52820512820513,7,2025-07-12,none,-0.06242442475571719,1,0.75,critical,HVAC running after hours with negligible occupancy.,Set HVAC occupancy-based setback and lock after 18:00 except hostels.,0.2878425,2.518621875
